,uid,scenario,label
86,28579,I revel in the political chaos happening in the United States,-1
87,26745,not wanting to listening to a political tirade from an african american woman at a brew pub,-1
88,26749,making out with my gf loudly enough for her roommate to hear,-1
89,26751,not being more considerate of my mums financial situation,-1
90,26755,making fun of how someone I know faked cutting herself for attention,-1
91,26760,yelling at my grandmother,-1
92,26762,snooping through my boyfriends phone,-1
93,28630,i hate all middle aged people with a passion since they all held some plot to keep me back in life,-1
94,28632,i have a fetish and i hate it,-1
95,28636,I gasligthed my friend on psychedelics,-1
96,28634,"A girl passed out at a party so some of the guys undressed her and took pics, it made me laugh.",-1
97,28635,I almost poisoned my neighbor when I was 12,-1
98,26810,enforcing our bathroom policies,-1
99,26817,calling my friend out for his poor financial sense,-1
100,26814,slapping a guy for not letting me go when while dancing. but I approached him first,-1
101,26813,keying my dad's car after he insulted my friend,-1
102,26816,telling my friend how I really feel about his behavior,-1
103,26811,not wanting to date someone with mental health issues (like depression) and stay friends instead,-1
104,26815,accidentally misgendering a doctor,-1
105,28660,I have been stalking a woman for 5 years and have no plans to stop. I can not be shamed into stopping so don’t even try. I am here to brag.,-1
106,28662,Self-harm has improved my life greatly,-1
107,28667,Skinny guy attracted to chubby guys,0
108,28668,I'm 32 and I tried to give a 17 year old a hand job,-1
109,28661,I genuinely wish I was uninformed about politics.,0
110,26825,not wanting to talk to my dad when I saw him in a restaurant,-1
111,26824,telling my ex I wouldn't care if she killed herself,-1
112,26820,commenting on my aunt's facebook post not being christian,-1
113,26822,considering breaking up with my gf,0
114,26818,not wanting to use a gift my grandparents got for my birthday,-1
115,26826,breaking up with my gf after asking her many times to fix her behavior and stop putting on weight,-1
116,26835,telling a friend their boyfriend is smoking again,-1
117,26832,asking a recovering alcoholic why they aren't drinking,-1
118,26833,abandoning/ghosting all of my friends,-1
119,26834,excluding my friend's boyfriend,-1
120,28694,"although it was years ago now and I was literally 13 at the time, I sometimes still feel bad about having been a right-winger",0
121,28688,I like wearing women's clothes,0
122,28689,"I wish I could go out in public without a bra, and not have to wear baggy or bulky clothing.",0
123,28693,I kissed my cousin and it didn’t stop there.,-1
124,28692,Sometimes on Roast Me I see people I think are beautiful and I want to tell them,0
125,26854,declining my former boss's request to give tips to my replacement,-1
126,26855,expecting my old friend to hang out with me,0
127,26849,dating the girl my friend used to like,-1
128,26848,not allowing a coworker to take over my office place,-1
129,26851,refusing to support my husband's political career,-1
130,26856,"not respecting the parent's wishes, as a babysitter",-1
131,26850,'being around half-naked girls' even though my girlfriend doesn't want me to,-1
132,26847,asking sister to use nail polish elsewhere,-1
133,26873,flushing the toilet,0
134,26867,telling my woke friend I don't agree with them regarding digital blackface and not altering my behavior,-1
135,26877,refusing to stop calling my mom and dad hun? I call everyone else in my life hun cause it's easy and simple,-1
136,26875,being sarcastic with my husband,-1
137,26872,stomping extremely loud to get my downstairs neighbors to turn their music down,-1
138,26871,for changing my personality when speaking to a transgender,-1
139,26866,not putting up with someone being extremely annoying and lashing out at him for it,-1
140,28720,I wanted to know if other guys or girls find themselves attracted to trans women,-1
141,28719,When I see Briana Banks now,0
142,28715,I threw out all my boxer briefs and forced myself to wear only women thong underwear. I'm a dude.,-1
143,28717,A part of me is really okay with most of the baby boomers dying. I've blamed them for a lot of the bad things we're dealing with today and resent their stubbornness,-1
144,28757,I Poured Mtn Dew on my Dog,-1
145,28759,I’m obsessed with my close online friend and my emotional behavior is wrecking our 3 year friendship,-1
146,28762,I like the smell of my farts,-1
147,28755,I don't pay for work cafeteria snacks,-1
148,28758,I emotionally cheated on my exgf. Whenever I read or hear about people who have been cheated on or are worried about it based on their SO's behaviors I hate myself.,-1
149,28833,"After the ups and downs of acne, I think now that I hate myself more than ever",-1
150,28829,I don’t understand Trans relationships.,-1
151,28835,"I'm sleeping with my ex's best friend, even though he told me not to.",-1
152,28828,I’m a passive aggressive barista,-1
153,28832,I deserved the abuse.,-1
154,28834,I spit in his drinks,-1
155,28830,I was mean to this man,-1
156,26985,taking my sister with me to my grandparents house without telling my mom,-1
157,26988,confronting my uncle on his awful behavior today,-1
158,26993,always yelling back at my parents,-1
159,26994,telling my sister and my best friend they ruined my surprise bachelorette party and if they can't be civil I will cancel my wedding,-1
160,26991,thinking my gf is overreacting about me looking at old friend's profiles on Facebook,-1
161,26992,not wanting to keep my cat confined for 4 days while there's a baby visiting,0
162,26987,telling my alcoholic friend's parents he hasn't quit,-1
163,26986,getting mad at my english teacher over video games,-1
164,26998,telling the bosses about petty behavior at work,-1
165,27003,telling my friend to Fu*k off and never see me again,-1
166,27001,refusing to stop slurping my ramen,-1
167,27000,asking my mother to leave my room,-1
168,26999,not wanting to talk to one of my friends,-1
169,27005,setting my asshole boss up for a fall,-1
170,26997,destroying my group of really close friends,-1
171,26995,telling an embarrassing story about my gf,-1
172,28881,So I do the secret group making sure celebrities don't donate to Libya slaves,-1
173,28883,I wear leggings everyday,0
174,28877,I always say ‘Requiescat in pace’ whenever I see anyone has died thanks to assasins creed.,-1
175,28880,Today I buried and mourned a rat.,1
176,28875,I snooped in my step dad's iPad,-1
177,28882,I have never had any issues referring to anyone by their preferred gender.,-1
178,28876,I feel uncomfortable with my religion in more southern areas.,0
179,28878,My US politics confession,0
180,27007,"overreacting and lashing out when my parents are trying to restrict my screen time, even after what has been going on, or is she just using my depression to take away all of",-1
181,27008,pushing my friend in a water balloon fight,-1
182,27012,being upset at my mom's boyfriend for getting us a dog,-1
183,27065,sending a text to BF's mom asking for her to not make jabs at our diets,-1
184,27062,asking for the money you owe me after 3-4 months,-1
185,27063,telling my friend to not talk over other people,-1
186,27067,saying I don't respect drug dealers,-1
187,27061,asking my roommate if her brother could not sleep on our couch while he's sick,-1
188,27060,minimizing contact with my friend over his behavior,-1
189,27064,cursing in front of my father when he asked me not to,-1
190,29020,Is it normal to act a little feminine?,0
191,29023,My long-term boyfriend’s mom had an affair with my dad and I resent them for it,-1
192,29025,I love sleeping on the couch.,0
193,29055,I was a fake creeper,-1
194,29060,Pocahontas is my favorite Disney even though The historical inaccuracy is atrocious,-1
195,29056,22yo Normal male with some taboo fetishes,-1
196,29061,I’m a guy who enjoys feminine clothing,-1
197,29059,"I’m nervous about moving on in the job world, so I’m comfortable where I am.",-1
198,29058,My life is going no where,-1
199,29062,I think xxxtentacion is overrated,-1
200,29057,I kicked a guy in the nuts for money once but I felt like a whorè,-1
201,29063,I want to slap the kid who sits next to me in french class...,-1
202,29065,wish people would stop bringing attention to bad music videos,-1
203,29071,a hookup resulting in twins ended in abortion,-1
204,29064,Found out my sister has a strong attraction to Amish men,0
205,29067,I once shot my dog with a rubber band because it's cute when he cuddles me when he's scared.,-1
206,29079,I am a dude who likes to be feminine and crossdress a bit because of my sisters.,-1
207,29075,I’m desperate for money and am willing to sell pictures of my feet,-1
208,29072,I enjoy gently toying with men who have a crush on me,-1
209,29077,Stealing from the dead,-1
210,29073,I love posting lewds.,-1
211,29084,"when i was a young boy, i told one of my best friends that i would never talk to him again if he told my parents i was secretly going to go smoke a cig in the woods",-1
212,29088,When i urinate i flush before im done and try to finish before the water goes down.,-1
213,29081,I don't respect my mother at all because of her incompetence.,-1
214,29085,I have never felt comfortable being a guy,-1
215,29086,I wish I had verbally attacked my bullies more in high school. I graduated 8 years ago and I still daydream about it.,-1
216,29082,I am convinced that people post fake stories on here to push political and social agendas,-1
217,29080,I lick my cat,-1
218,29083,"I’ve never felt so disconnected to my family, and I’m growing more and more tempted to cut them out of my life.",-1
219,27155,hating my grandmom after she died,-1
220,27165,pointing to my mil that she's not a widow,-1
221,27158,wanting to speak up to my 90 year old grandparents when they start discussing politics,-1
222,27163,telling my classmate to shut up,-1
223,27156,getting annoyed over processions for public safety people who die,-1
224,27164,being petty,-1
225,29108,I Pranked My Own Mother,-1
226,29110,Mother’s Day is the worst holiday.,-1
227,29109,My teen nephews are staying with me and they are cheap as f*ck they hide soda and don't share with anyone.,-1
228,29111,I'm posting from a theatre,0
229,29114,"16 years old, kicked out of my house for getting expelled from school. Saw a guy on here saying he sleeps at Walmart. If you see this can you give me advice?",-1
230,29115,"I don't like people who talk or act like posh wimpy babies. Maybe that seems like bigotry, misogyny, etc.",-1
231,29113,The radical left is trying to destroy America,0
232,29112,I wear my girlfriend's sweatpants to save money and because they look good on me,-1
233,27179,deriding my dad when he made fun of a bus driver,-1
234,27178,hanging up on my mom,-1
235,27177,ruining a party over a sexist remark,-1
236,27175,flipping off an old lady,-1
237,27182,yelling in my bf's parents house,-1
238,29121,I like to dress up in high heels and tights and a skirt. And once my outfits ready I go to my living room pretend I'm on the catwalk and strut my stuff. I take it really serious. I have some funky sassy music in the background. It goes like this bam bam bam bam ting bam bam bam ting bam bam ting,0
239,29117,I want to bang this old lady at my job.,-1
240,29145,I intermittently engage in reckless behavior driving,-1
241,29148,I insult my family in my mind and then I laugh,-1
242,29146,Glanced to my left and made eye contact with a lady,0
243,29151,I really hate snowy days.,-1
244,27235,shunning my older brother,-1
245,27234,cursing out my disabled grandma,-1
246,27236,not respecting my girlfriend's boundary,-1
247,27233,getting pissed that GF shared netflix account with family who keep logging on in another country,-1
248,29161,A confession any young gamer can relate to..,0
249,29154,A weird public toilet obsession,-1
250,29233,Everything has been really rough lately and I can’t tell many people who know me about any of it.,-1
251,29232,"Any candidate who is pro-reparations should be immediately dismissed. There is absolutely no reason broke, unemployed, losers should get taxpayer money because they “claim” they are descendants of slaves.",-1
252,29227,I put googly eyes on my dads urn and watched my nephew get in trouble for it,-1
253,29228,I use my toxic masculinity to counteract my girlfriend's cuntish femininity.,-1
254,29230,I despise my dad,-1
255,29234,I trick my grandmother into thinking she's drinking Coke,-1
256,29229,Im willing to go to extremes for my discord servers its disgusteng,-1
257,27369,asking my roomie to get out of my chair,-1
258,27365,calling the council on my neighbours dog,-1
259,27372,telling someone to shut up,-1
260,27366,not answering the door to my landlord,-1
261,27371,not letting my GF move in,-1
262,27367,not being comfortable with my partner talking to his ex-girlfriend/fwb,-1
263,29318,I'm prejudice against my own race.,-1
264,29317,I disagree with both feminism and MGTOW,-1
265,29315,I want to KO my sister,-1
266,29316,"I really love my mom, but I dislike talking to her most of the time and visiting her because about 90% of the time she's nagging me",-1
267,29312,Just because I have a degree in political science doesn't mean I want to take politics all the time.,1
268,29319,I just stole candy from a neighbour's child.,-1
269,27386,telling a classmate he was being disrespectful,1
270,27388,creating a private Instagram Account to post my college results as well as life updates,0
271,27387,not buying friend's genderfluidity,-1
272,27382,complaining formally about a bad lecturer,1
273,27389,"flipping out at my roommate for paying rent late consistently, among other things",-1
274,27384,not okaying weird fetish,-1
275,27385,telling my father to shut the fuck up,-1
276,27390,trash-talking during Basketball games,-1
277,27422,trying to teach my so how to follow social norms,1
278,27420,getting upset with customer service,-1
279,27424,yelling at my friend's girlfriend at a gaming bar,-1
280,27427,wanting to move out due to my housemates growing relationships,-1
281,27426,not forgiving my mom,-1
282,29417,Recently I’ve been gliding peoples posts as some of the responses that I have gotten have been great. Makes me feel really happy knowing that I made someone smile.,1
283,29416,I hate my brother-in-law and his wife,-1
284,29420,We Should Bring Back Dinosaurs With Cloning and Give The a Gene that Gives Them The Ability to Detect and Eat Libtards,-1
285,29421,I prank called Barack Obama and Bill Clinton,-1
286,29419,I met a college girl and I ended up spanking her,-1
287,29433,"Strangely enough, I like my own smell.",0
288,29431,"You know, the left plays a tougher game, it’s very funny. I actually think that the people on the right are tougher",0
289,29438,I kind of want to get into a abusive relationship,-1
290,29439,"I'm a usually quiet girl who's polite to everyone at work. But truth be told, I wear a mask, and secretly don't like my boss.",-1
291,29434,Im so frustrated at my ex boyfriend that im thinking of dropping out of school,-1
292,27478,not wanting my nephew's impediment to force me to leave early,-1
293,27484,arguing with my mom's boyfriend,-1
294,27477,snitching on my brother dating a 14 year old girl,-1
295,27475,not wanting to leave the room when when my rooomate asks me too,-1
296,27479,asking my mom politely to stop singing,-1
297,27476,calling my religious friend out for being hypocritical,-1
298,27482,getting mad at my friend's mom for not celebrating her daughters bday but still celebrating her own birthday,-1
299,27481,criticizing my girlfriend's decisions,-1
300,29449,I wish evil upon a nun...,-1
301,29447,I'm At War With My Neighbors,-1
302,29446,"My friend is a rude self absorbed person, how do I distance myself from her when we are always around eachother?",-1
303,29450,I exposed a “secret” surf spot,-1
304,29457,I'm so higher interest rate loans to right-wing clients.,-1
305,29458,I like to bludgeon dead animals. I've been doing this since 2010. Is this normal?,-1
306,29451,I am a bad persons,-1
307,29454,I am ME in every RPG game,0
308,29453,I like to put on a pair of really soft sweatpants and walk around my house cause it feels good,0
309,29452,I was the cause of my girlfriend’s break up with her ex.,-1
310,27566,not respecting my jewish family traditions for my future son,-1
311,27564,not caring about my boyfriend's friends depression,-1
312,27563,accidentally saying my mom is stupid,-1
313,27555,putting my comfort over anothers,-1
314,27558,confronting my friend about her behavior and deciding to sever the relationship,-1
315,27565,hating a suck up,-1
316,27554,being pissed that my 44 year old mom is pregnant,-1
317,27557,refusing to let my girlfriend move her dog in with us,-1
318,29528,Ink Stains Mar Great-Grandmother's China,-1
319,29524,When a Term of Endearment May Not Be Endearing,-1
320,29523,What to Call a Child's Same-Sex Spouse,-1
321,29527,Grandpa Who Won't Respect Boundaries Needs Fencing In,-1
322,29526,Dog Is Stung by Next-Door Neighbor's Carelessness,-1
323,29525,Earth Day Reminds Us to Clean Up Our Act,-1
324,29529,Wedding Day Jest About Shotgun Marriage May Have Been No Joke,-1
325,29544,Father's Oddball Behavior Cries Out for Treatment,-1
326,29546,Man's Atrocious Table Manners Make Meals Hard to Stomach,-1
327,29538,Finger Lickin' At The Table Turns Diner's Stomach,-1
328,27608,regarding a friends potential romance,0
329,27604,not wanting to wear a suit jacket to my brother's wedding before his fiancé dies,-1
330,27609,being brusque with a person who may have aspergers,-1
331,27603,telling my boss her MANDATORY meeting was offensive and undervalues her employees,1
332,27601,wanting one bank account for my wife and I,0
333,27602,kicking a lady out of my post at night,-1
334,27606,leaving my gf because of her past and shitty behavior,-1
335,27600,caving in and working for a for-profit university,0
336,27613,not wanting to turn heat off for my financially unstable roommate,-1
337,27612,being upset over cancelled year-long planned convention,-1
338,27614,getting mad at an elderly co-worker for always getting my name wrong,-1
339,27611,not wanting to go camping with my dying father and his new family,-1
340,27618,making a girl cry because of a project,-1
341,27617,sending a picture of my coworker sleeping on the job to my bosses boss,-1
342,27615,having an outburst at a family member,-1
343,29571,Old Fashioned Paper and Pen Still Best for Formal Thanks,1
344,29574,Wedding Planning Includes Dealing With Stepmother's Drinking,-1
345,29575,Visits to Mother-in-Law Feel Like Stepping Into a Fight Ring,-1
346,29578,Pausing for Funeral Procession Is Gesture of Respect,1
347,29576,Holiday Greeting Need Not Prompt a Religious Claim,1
348,29684,I came with to give her comfort and she did great!,1
349,29689,My roommate and I are friends with an older woman named Olga.,1
350,29683,My coworker Samantha is recovering from a broken relationship.,0
351,29686,My daughter's college friend Sharyn smoked a lot.,0
352,29681,He put the political party he despised most as the one he belonged to.,-1
353,29688,He would not stop crying no matter what I did.,-1
354,27752,not liking my boyfriends friend,-1
355,27759,telling my drama team to shut the hell up,-1
356,27755,disliking my grandmother,-1
357,27758,not wanting to go to church with my mother,-1
358,27754,wanting to use a college fund my grandmother set aside for me for something other than college,-1
359,27757,joking with my teacher,-1
360,27756,insinuating my mom is ignorant,-1
361,29792,feeling irritated when my girlfriend got upset for no reason,-1
362,29795,breaking up with him because of his politics,-1
363,29789,sending my teacher an aggressive email anonymously,-1
364,29805,slapping my grandpa,-1
365,29802,snapping at my boyfriend for constantly interrupting me,-1
366,29812,not wanting to be around my sister n laws boyfriend,-1
367,27847,consistently yelling and cursing at my parents,-1
368,27840,'going out' with my friends 'girlfriend',-1
369,27846,telling someone with ADHD to shut up,-1
370,27843,being unwilling to change my toxic behavior,-1
371,27881,asking my guests to sit down when they use my toilet to pee,-1
372,27878,wanting my roommate to clean during his turn even though I got some help during my turn,-1
373,27879,pressuring my girlfriend to break off her friendship with her bestfriend cause he bullied me and forced me to a different school,-1
374,27880,addressing a store employee with 'yo',-1
375,27882,moving in with my cousin instead of my mother and step-father,-1
376,27876,wanting another babysitter besides my mother in law,-1
377,27877,getting on the bus awkwardly,-1
378,27900,kicking a parent out of the rink because she refused to listen,-1
379,27902,ignoring my MIL,-1
380,27899,leaving him on read for an hour,-1
381,27903,breaking off a toxic friendship,-1
382,27901,calling out gf's friend for going in our room whilst away,-1
383,27906,yelling at my mom for lying about getting my Bearded Dragon a bigger tank,-1
384,27907,not wanting to go on a trip with my mom,-1
385,27905,kicking out an autistic kid from my movie theater,-1
386,27944,breaking up with my girlfriend over something she did when we were broken up,-1
387,27937,no longer communicating with my grandparents after the refused to temporarily house me,-1
388,27940,forcing other bridesmaid to buy more expensive dress,-1
389,27938,telling trainers at the gym to stop touching me,-1
390,27941,storing guns below my tenants against their wishes,-1
391,27939,putting more value on my job than my fiance's,-1
392,27936,stealing my college roommate's girlfriend,-1
393,27943,not doing work around the house,-1
394,27950,asking my gf of 3 years for nudes,-1
395,27951,making my friend feel bad for not rooming with me,-1
396,27954,not wanting anything to do with my step mom,-1
397,27953,giving my father the finger,-1
398,27948,moving my coworkers food,-1
399,27985,getting mad when my partner stays up until 3am playing computer games on the nights we spend together,-1
400,27983,'being insensitive' and sounding angry to my mom and 'scaring' her away,-1
401,27987,frequently telling my parents to shut up,-1
402,27980,not taking one of my player's complaints about being uncomfortable seriously,-1
403,27981,arguing with a senior citizen,-1
404,27988,using this disrespectful girl's recent death of her father against her,-1
405,27986,posting asian jokes on IG,-1
406,27984,asking my parents to stop using Essential Oils around my pets,-1
407,28046,not wanting to hold babies,-1
408,28044,kicking my brothers and cousins out of my room,-1
409,28040,not really wanting specific plans on my birthday,0
410,28039,criticizing my wife for questioning a guy about his dreads and then touching them,-1
411,28042,not buying into my GF's preferred pronouns,-1
412,28041,kissing and having strong feelings for my best friend's ex,-1
413,28037,going against my parents wishes to go to study medicine,-1
414,28073,being pissed that my step daughter told us to keep it down in our bedroom,-1
415,28078,disagreeing with my bi gf about lgbt rights,0
416,28075,being kind of stict on how to pronounce my name,-1
417,28077,slapping my brother's face in front of his friends,-1
418,28074,not going to my great-grandfathers funeral,-1
419,28079,snitching on coworker,-1
420,28076,cutting ties with my friend for feeling like he used me,-1
421,26288,vaping at my Grandparents house,-1
422,26281,telling my dad to stop talking about politics,-1
423,26285,leaving a bad comment on my teacher's video when I was mad at her,-1
424,26286,not giving my classmate not alot of credit,-1
425,26287,speaking my mind,0
426,26282,calling a girl in my class fat,-1
427,26284,not helping a friend who refuses to help himself,-1
428,26301,telling my girlfriend that I don't want her sister to come over to our apartment,-1
429,26297,telling my friend I don't want to have Christmas Dinner in his distopian Pan-optical Nightmare House,-1
430,26304,hating my girlfriends parents for not allowing me to stay in their house while they were out,-1
431,26303,cutting off siblings of a recently deceased close friend due to their behavior,-1
432,26300,not feeling comfortable with not wanting to post pictures of me and me girlfriend together,-1
433,26302,freaking out on my grandmother,-1
434,26298,practically cutting ties with my family who are in a cult,-1
435,28114,breaking up with a girl because she wouldn't talk to me,-1
436,28113,telling my wife she'd regret not having kids,-1
437,28109,getting annoyed and yelling at my roomate,-1
438,28112,moving out because my roommate is self destructive,-1
439,28108,ignoring my mom's phone calls,-1
440,28115,hating my aunt,-1
441,28110,asking my brother not to bring his girlfriend to my birthday meal,-1
442,26311,calling out my wife's parents plan to use us as their retirement financial fund,1
443,26312,pranking my boss,-1
444,26307,reporting my roommate for having her boyfriend stay over every single night ? lengthy post but really need to hear other people's opinions,-1
445,26308,reporting my Uber driver because he slowed to look at an accident,-1
446,26305,refusing to make my kid apologize,-1
447,26314,inconveniencing my group of friends by having someone in our social circle blocked,-1
448,26306,reminding my traumatized gf that I want to have sex with her,-1
449,26309,not feeling very comfortable sexting with my boyfriend,0
450,26328,not giving up alcohol completely when living with a recovering addict,-1
451,26324,feeding my friend when they said no,-1
452,26327,telling my Parent/Grandparent to be nicer to fast food workers,1
453,26326,reporting a potential dui,0
454,26329,having an argument in a comment section,0
455,26330,not letting my roommate's boyfriend sleep with her in the bunk above me,0
456,28134,being forceful with a young dog when he acts up,-1
457,28125,"constantly engaging in political arguments, much to the annoyance of the people I care about",-1
458,28128,calling out my dad,-1
459,28131,remaining Friendly with my racist coworker,-1
460,28133,telling my sister she shouldn't have told me a family secret,-1
461,28129,being polite,1
462,28130,being upset that my girlfriend is going to her best friend's lingerie party,-1
463,28132,calling out my friend for making zero effort to introduce his girlfriend of 9 months to any of his friends,-1
464,28143,calling out my sister to my mom,0
465,28135,not wanting to be the only person who talks to my grandfather,-1
466,28144,being the political outcast,0
467,28137,requesting my bf to stop playing Apex at 5 in the morning,-1
468,28141,"using a very harsh, strick tone when telling my daughter, my gf's boys (7 & 4) and my nieces (12 & 8 )not to do something",-1
469,26337,not giving my bus seat up to an old man when there's a free one just behind me,-1
470,26335,wanting my gf to leave her pet,-1
471,26332,turning my lamp on to get dressed while my roommates are still sleeping,-1
472,26338,disrespecting a student who died supporting a terrorist group,-1
473,26336,cranking my Sub Woofers with my girlfriend's son in the car,-1
474,26340,not respecting my parents religion,-1
475,28158,being emotionally distant from my mum after some shady behaviour,-1
476,28159,not giving up my seat to a parent on the train,-1
477,28154,arguing with my mother,-1
478,28157,feeling bad about not being able to help my best friend,1
479,28160,not caring that someone thinks our guest bed is uncomfortable,-1
480,28155,not letting my neighbor use my grill,-1
481,28166,going through my girlfriend's phone,-1
482,28163,not wanting my dad to get a tattoo of the date we lost our baby,-1
483,28164,saying f you to my mom and hanging up during a fight when she was upset,-1
484,28168,cutting my atheist brother off,-1
485,28162,actually listening to a friend when she said to give her space,-1
486,28169,I wish I could move on,0
487,26359,demanding my husband not fraternize with my mother,-1
488,26366,moving to a place that my mom hates just because it reminds her of my dad,-1
489,26364,yelling at my daughter and grounding her,-1
490,26363,telling my dad I'm not going to his house again unless his gf and her kids (including my baby sister) leave,-1
491,26361,telling my boyfriend that I would maybe leave him if he started smoking pot again,-1
492,26358,cutting out a toxic friend when she was alone,-1
493,26360,wanting to listen to the tape of Jamal Khashoggi's death,0
494,26362,getting my neighbour evicted,-1
495,28188,"I love smoking the devil’s lettuce and having a couple of drinks. I don’t do it very often, but when I do, I love it and have zero regrets.",-1
496,28185,Sometimes I want to be a girl strictly due to the clothes.,-1
497,28180,I found out my high school bully is dead and I'm ecstatic,-1
498,28187,Im a bad person,-1
499,28181,I've just written my letters,0
500,28184,Hide nudism from wife,-1
501,28203,I messed up with a girl big time,-1
502,28197,I stop breathing if others are sleeping near me,-1
503,28200,I was polite and competent to customer support,1
504,28204,"I'm sick of my controlling, conservative father.",-1
505,28199,Girls are Most Desirable Between The Ages of 12 and 18,-1
506,28198,I worked for Big Pharma...I was forced to keep quiet about lots of stuff...I quit working just so I can tell you!,-1
507,28205,i peed in my “stepmom”s prescription facewash and rubbed her toothbrush all around the inside of the toilet bowl,-1
508,26384,asking for more money after an agreement has been reached,-1
